A8,3
B5,1
B8,4
C6,1
C7,15
C8,10
D11,2
D5,1
D6,4
D7,34
D8,111
D9,82
E10,32
E5,2
E6,16
E7,58
E8,170
E9,399
F0,10
F1,1
F10,177
F11,3
F4,1
F5,256
F6,866
F7,656
F8,554
F9,1580
G10,145
G11,147
G3,2
G4,6
G5,638
G6,4612
G7,3622
G8,1876
G9,1183
H0,1
H1,6
H10,1032
H11,436
H12,10
H2,5
H3,13
H4,420
H5,2240
H6,11170
H7,7082
H8,4336
H9,972
I10,1877
I11,310
I12,96
I13,1
I3,5
I4,398
I5,1279
I6,4265
I7,4953
I8,3301
I9,1370
J10,1279
J11,705
J12,165
J3,1
J4,509
J5,1349
J6,2533
J7,3189
J8,1014
J9,1055
K10,1788
K11,811
K12,44
K13,1
K2,56
K3,648
K4,899
K5,1453
K6,5235
K7,6264
K8,420
K9,621
L0,2
L1,191
L10,1166
L11,224
L2,855
L3,1784
L4,5366
L5,2803
L6,1834
L7,3898
L8,2204
L9,950
M0,30
M1,15
M10,1812
M11,214
M2,3705
M3,5531
M4,4508
M5,1927
M6,2226
M7,950
M8,769
M9,2202
N0,362
N1,1813
N10,246
N11,2
N2,2987
N3,2593
N4,2068
N5,1903
N6,3372
N7,1392
N8,1294
N9,757
O0,403
O1,856
O2,625
O3,422
O4,2861
O5,2357
O6,1717
O7,3342
O8,71
O9,6
P0,74
P1,410
P2,223
P3,391
P4,1017
P5,1279
P6,148
P7,88
P8,2
P9,2
Q0,1
Q2,4
Q3,114
Q4,348
Q5,574
Q6,13
Q8,1
Q9,2
R10,1
R2,2
R3,247
R4,269
R5,173
R6,35
out_of_range,300
